arm,model,exam,battery,runs,valid,scored,dnf,denominator,mean_total,mean_pct,min,max
cursor,gpt-5.6-luna,ZeroShotExam,memos,10,10,10,0,30,29.20,97.3,28,30
cursor,gpt-5.6-luna,ZeroShotExam,memos-hard,10,10,10,0,20,14.40,72.0,13,17
cursor,gpt-5.6-sol,MultiTurnExam,memos,10,10,10,0,30,29.80,99.3,29,30
cursor,gpt-5.6-sol,MultiTurnExam,memos-hard,10,10,10,0,20,14.90,74.5,14,17
cursor,gpt-5.6-sol,ZeroShotExam,memos,10,10,10,0,30,29.10,97.0,28,30
cursor,gpt-5.6-sol,ZeroShotExam,memos-hard,10,10,10,0,20,14.10,70.5,12,15
cursor,gpt-5.6-terra,MultiTurnExam,memos,10,10,10,0,30,29.20,97.3,27,30
cursor,gpt-5.6-terra,MultiTurnExam,memos-hard,10,10,10,0,20,14.90,74.5,11,18
cursor,gpt-5.6-terra,ZeroShotExam,memos,10,10,10,0,30,29.10,97.0,27,30
cursor,gpt-5.6-terra,ZeroShotExam,memos-hard,10,10,10,0,20,13.70,68.5,12,16
cursor,grok-4.6,MultiTurnExam,memos,10,10,10,0,30,30.00,100.0,30,30
cursor,grok-4.6,MultiTurnExam,memos-hard,10,10,10,0,20,17.20,86.0,16,18
cursor,grok-4.6,ZeroShotExam,memos,10,10,10,0,30,30.00,100.0,30,30
cursor,grok-4.6,ZeroShotExam,memos-hard,10,10,10,0,20,16.20,81.0,13,17
gitnexus,claude-fable-5,HumanExam,memos-hard,5,5,5,0,20,18.00,90.0,18,18
gitnexus,claude-fable-5,MultiTurnExam,memos,5,5,5,0,30,29.80,99.3,29,30
gitnexus,claude-fable-5,MultiTurnExam,memos-hard,5,5,5,0,20,17.80,89.0,17,18
gitnexus,claude-fable-5,ZeroShotExam,memos,15,5,5,10,30,29.80,99.3,29,30
gitnexus,claude-fable-5,ZeroShotExam,memos-hard,5,0,0,5,20,,,,0
gitnexus,claude-haiku-4-5,MultiTurnExam,memos,8,8,8,0,30,28.38,94.6,26,29
gitnexus,claude-haiku-4-5,MultiTurnExam,memos-hard,8,8,8,0,20,16.00,80.0,15,18
gitnexus,claude-haiku-4-5,ZeroShotExam,memos,10,10,10,0,30,26.90,89.7,23,30
gitnexus,claude-haiku-4-5,ZeroShotExam,memos-hard,10,10,10,0,20,13.90,69.5,11,16
gitnexus,claude-opus-4-6,HumanExam,memos,10,10,10,0,30,29.20,97.3,28,30
gitnexus,claude-opus-4-6,HumanExam,memos-hard,10,10,10,0,20,17.10,85.5,16,19
gitnexus,claude-opus-4-6,MultiTurnExam,memos,10,10,10,0,30,28.30,94.3,24,30
gitnexus,claude-opus-4-6,MultiTurnExam,memos-hard,10,10,10,0,20,15.70,78.5,13,19
gitnexus,claude-opus-4-6,ZeroShotExam,memos,10,10,10,0,30,28.90,96.3,28,30
